7888,03/19/19,AM,DB
7326,03/19/19,AM,DB
7698,03/19/19,AM,DB
7417,03/19/19,AM,DB
7839,03/19/19,AM,DB
7284,03/19/19,AM,DB
7482,03/19/19,AM,DB
7938,03/19/19,AM,DB
7870,03/19/19,AM,DB
7623,03/19/19,AM,DB
6047,03/19/19,AM,DB
6724,03/19/19,AM,DB
7649,03/19/19,AM,DB
7664,03/19/19,AM,DB
7532,03/19/19,AM,DB
7763,03/19/19,AM,DB
7409,03/19/19,AM,DB
7862,03/19/19,AM,DB
7946,03/19/19,AM,DB
7433,03/19/19,AM,DB
7722,03/19/19,AM,DB
7375,03/19/19,AM,DB
7359,03/19/19,AM,DB
7441,03/19/19,AM,DB
7490,03/19/19,AM,DB
7474,03/19/19,AM,DB
7334,03/19/19,AM,DB
7342,03/19/19,AM,DB
7672,03/19/19,AM,DB
7383,03/19/19,AM,DB
5981,03/19/19,AM,DB
8001,03/19/19,AM,DB
4514,03/19/19,AM,DB
6047,03/19/19,AM,DB
6724,03/19/19,AM,DB
5551,03/19/19,AM,DB
6278,03/19/19,AM,DB
4514,03/21/19,AM,DB
7938,03/21/19,AM,DB
7383,03/21/19,AM,DB
7748,03/21/19,AM,DB
7722,03/21/19,AM,DB
7649,03/21/19,AM,DB
7847,03/21/19,AM,DB
7565,03/21/19,AM,DB
7466,03/21/19,AM,DB
7409,03/21/19,AM,DB
7763,03/21/19,AM,DB
7425,03/21/19,AM,DB
7417,03/21/19,AM,DB
6278,03/21/19,AM,DB
7433,03/21/19,AM,DB
7359,03/21/19,AM,DB
7441,03/21/19,AM,DB
7888,03/21/19,AM,DB
7946,03/21/19,AM,DB
7599,03/21/19,AM,DB
7839,03/21/19,AM,DB
5981,03/21/19,AM,DB
7698,03/21/19,AM,DB
7714,03/21/19,AM,DB
8001,03/21/19,AM,DB
7375,03/21/19,AM,DB
7920,03/21/19,AM,DB
7656,03/21/19,AM,DB
7896,03/21/19,AM,DB
7474,03/21/19,AM,DB
7490,03/21/19,AM,DB
7664,03/21/19,AM,DB
7334,03/21/19,AM,DB
7342,03/21/19,AM,DB
7326,03/21/19,AM,DB
7573,03/21/19,AM,DB
7482,03/21/19,AM,DB
7771,03/21/19,AM,DB
6047,03/21/19,AM,DB
7581,03/21/19,AM,DB
7623,03/21/19,AM,DB
4514,03/22/19,AM,DB
5809,03/22/19,AM,DB
7888,03/22/19,AM,DB
6047,03/22/19,AM,DB
7714,03/22/19,AM,DB
7847,03/22/19,AM,DB
7375,03/22/19,AM,DB
7722,03/22/19,AM,DB
7631,03/22/19,AM,DB
7748,03/22/19,AM,DB
6740,03/22/19,AM,DB
7938,03/22/19,AM,DB
7433,03/22/19,AM,DB
7565,03/22/19,AM,DB
7441,03/22/19,AM,DB
7383,03/22/19,AM,DB
7425,03/22/19,AM,DB
7417,03/22/19,AM,DB
7698,03/22/19,AM,DB
7763,03/22/19,AM,DB
7599,03/22/19,AM,DB
7771,03/22/19,AM,DB
7359,03/22/19,AM,DB
7466,03/22/19,AM,DB
5981,03/22/19,AM,DB
7573,03/22/19,AM,DB
7482,03/22/19,AM,DB
7532,03/22/19,AM,DB
